[2026-06-09T09:46:49.612Z] Connect: socketId=ub4aspN2b9hqBmeoAAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:52.294Z] Connect: socketId=jCI7zYdy3sJF7dlUAAAZ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:52.786Z] Connect: socketId=mLWc1PRI61jc8En5AAAb, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:52.988Z] Connect: socketId=hT1LrSz_huaBSw6yAAAd, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:55.443Z] Connect: socketId=t4h9HtO_t_ilEW_ZAAAf, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:48:48.649Z] Connect: socketId=SALug_aUyq53dhPEAAAh, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:48:48.870Z] Connect: socketId=6PBac9Ff_V7Df3gtAAAj, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T06:03:10.311Z] Connect: socketId=kVgRt2vGCzplOIFFAAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T06:03:17.101Z] Connect: socketId=OE0_Lvrxe3sYBPpOAAAD, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T06:03:24.017Z] Connect: socketId=XmIuFZfFKFtiv7SiAAAF, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:11:04.340Z] Connect: socketId=8GOL0OV_DdS0OKIFAAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:11:05.874Z] Connect: socketId=uUbpwdJf8ndJXFMrAAAD, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:11:06.216Z] Connect: socketId=vRKlOAHG-Tf-7of5AAAF, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:20.722Z] Connect: socketId=TC26eOOjgd5oCQaiAAAH, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:21.408Z] Connect: socketId=5UsnCMA54N7nDtyEAAAJ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:21.663Z] Connect: socketId=_N7hhs1MUsIb-m3pAAAL, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:26.419Z] Connect: socketId=Bt_aszypOjODT093AAAN, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:27.110Z] Connect: socketId=6H_CiaV-dSZ_kcvsAAAP, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:16:27.308Z] Connect: socketId=wXblfwejjGpAe26yAAAR, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:17:20.594Z] Connect: socketId=X3h4VKtSyqFw_8eRAAAT, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:17:41.161Z] Connect: socketId=Pb_RMdSbwXAvqERPAAAV, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:17:42.071Z] Connect: socketId=kbl-VT9wsXEWG8isAAAX, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:18:06.683Z] Connect: socketId=9T3OlPQv-OoB_MyNAAAZ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:18:07.710Z] Connect: socketId=LwPrp5uDTfUwf6TcAAAb, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:18:08.370Z] Connect: socketId=NdbsIjSt4v9hAkF3AAAd, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:30:44.061Z] Connect: socketId=FAsiRORc1g9khRd1AAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:30:46.141Z] Connect: socketId=OsBM72TAs0D3r2_sAAAD, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:30:46.372Z] Connect: socketId=KsAiQ7W_3hpbF5Y2AAAF, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:39:48.820Z] Connect: socketId=QYp6-FTwLIPGtiAvAAAH, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:39:49.444Z] Connect: socketId=XKHT70bMyaw9fj80AAAJ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T07:39:49.942Z] Connect: socketId=Do0n07LvPT4PT8HIAAAL, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:12:22.949Z] Connect: socketId=OfHSk4wVgwYdkwKlAAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:16:51.216Z] Connect: socketId=kkvQ0VovDEa1bU6NAAAD, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:16:51.855Z] Connect: socketId=RuhcJ6QWUZbybmy5AAAF, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:16:52.736Z] Connect: socketId=GG-qFxstLEtsH0P6AAAH, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:22:49.207Z] Connect: socketId=BQgtQVzX9j-actKTAAAJ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:22:49.804Z] Connect: socketId=ztNEDYIVZvwAdVsqAAAL, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:22:50.063Z] Connect: socketId=EQrDVwSxOljcXF9rAAAN, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:23:25.873Z] Connect: socketId=Kz02ZrJDVD3GZRmGAAAP, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:23:26.423Z] Connect: socketId=DtxJrsU7K4SSU7U3AAAR, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:23:26.995Z] Connect: socketId=HQi-2kMp4BCkFGwQAAAT, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:25:40.953Z] Connect: socketId=SLE1_qUwe59MsekGAAAV, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:25:41.358Z] Connect: socketId=8iNuT5b3fl8F_3PKAAAX, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-10T08:25:41.526Z] Connect: socketId=FiN6Rzv9csUABYcfAAAZ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
